Product Name,Category,Quantity,Buying Price,Selling Price,Batch Number,Expiry Date (YYYY-MM-DD)
Aspirin 500mg - 97,Vitamins,148,1777,2617,BATCH-202511-1267,2028-08-21
Loratadine 250mg - 90,First Aid,200,4721,6858,BATCH-202511-5498,2027-06-21
Loratadine 500mg - 5,Vitamins,252,2727,4047,BATCH-202511-2469,2027-03-14
Amoxicillin 250mg - 30,Supplements,295,1241,1757,BATCH-202511-9487,2028-03-10
Diclofenac 1000mg - 46,Cardiovascular,103,1732,2252,BATCH-202511-3498,2028-07-16
Bandages 500mg - 48,Painkillers,441,1666,2305,BATCH-202511-1208,2028-09-13
Bandages 1000mg - 88,Supplements,472,4703,6095,BATCH-202511-6736,2028-09-15
Omeprazole 1000mg - 15,Antibiotics,372,3468,4819,BATCH-202511-4476,2027-06-12
Diclofenac 1000mg - 58,Vitamins,209,1023,1399,BATCH-202511-1590,2028-03-27
Paracetamol 250mg - 97,Dermatology,221,1433,1974,BATCH-202511-6541,2027-11-16
Cetirizine 500mg - 9,First Aid,290,252,345,BATCH-202511-3460,2027-03-24
Ibuprofen 1000mg - 66,Supplements,363,4700,6430,BATCH-202511-1496,2027-11-19
Azithromycin 1000mg - 90,Antibiotics,49,191,256,BATCH-202511-2637,2027-12-21
Aspirin 1000mg - 29,Antibiotics,158,1967,2404,BATCH-202511-4419,2028-01-08
Ciprofloxacin 250mg - 24,Painkillers,407,811,1002,BATCH-202511-6261,2027-09-03
Paracetamol 1000mg - 15,First Aid,371,3059,3706,BATCH-202511-6338,2028-04-04
Omeprazole 250mg - 82,Cardiovascular,62,3886,4949,BATCH-202511-8346,2028-01-25
Diclofenac 1000mg - 83,Supplements,150,1631,2262,BATCH-202511-8267,2028-09-05
Loratadine 500mg - 70,Antibiotics,196,2688,3373,BATCH-202511-8900,2028-10-30
Ciprofloxacin 250mg - 37,Antibiotics,224,1111,1431,BATCH-202511-5291,2028-11-08
Paracetamol 1000mg - 66,Cardiovascular,385,4066,5617,BATCH-202511-2228,2027-09-10
Amlodipine 500mg - 54,Antibiotics,314,1944,2647,BATCH-202511-1938,2027-08-17
Loratadine 250mg - 85,Painkillers,364,1703,2149,BATCH-202511-6491,2027-05-05
Diclofenac 250mg - 77,Painkillers,355,3113,4627,BATCH-202511-2722,2027-06-22
Amlodipine 1000mg - 60,Cardiovascular,257,3528,4742,BATCH-202511-9406,2028-11-16
Amoxicillin 500mg - 26,Antibiotics,141,3168,4693,BATCH-202511-6029,2028-10-10
Amlodipine 500mg - 7,Cardiovascular,425,4592,6700,BATCH-202511-7968,2028-10-06
Bandages 250mg - 1,Antibiotics,476,4460,6255,BATCH-202511-7758,2027-03-27
Diclofenac 250mg - 22,Painkillers,483,2687,3699,BATCH-202511-3383,2027-03-26
Vitamin C 1000mg - 84,Vitamins,325,4885,5863,BATCH-202511-7817,2027-07-05
Aspirin 250mg - 99,Antibiotics,161,3083,4403,BATCH-202511-2241,2027-08-10
Azithromycin 250mg - 21,First Aid,91,3617,5243,BATCH-202511-1120,2028-09-29
Cetirizine 1000mg - 67,Dermatology,231,4938,7102,BATCH-202511-7994,2028-11-25
Doxycycline 1000mg - 43,Dermatology,77,4968,6914,BATCH-202511-6392,2027-05-27
Cetirizine 500mg - 58,Vitamins,190,2269,3351,BATCH-202511-8881,2027-09-30
Azithromycin 250mg - 68,First Aid,468,1931,2681,BATCH-202511-5327,2027-09-13
Cetirizine 500mg - 8,Painkillers,24,3157,4587,BATCH-202511-9414,2028-09-14
Ciprofloxacin 500mg - 57,Cardiovascular,119,2769,3506,BATCH-202511-8164,2028-10-12
Diclofenac 500mg - 47,Vitamins,258,2251,3302,BATCH-202511-2358,2027-04-06
Ibuprofen 500mg - 84,Supplements,73,3458,4240,BATCH-202511-9526,2028-02-28
Azithromycin 500mg - 49,Painkillers,472,439,617,BATCH-202511-3842,2028-07-01
Loratadine 250mg - 65,First Aid,257,295,421,BATCH-202511-8788,2027-09-27
Metformin 1000mg - 52,Supplements,129,3710,4615,BATCH-202511-8734,2026-12-27
Cetirizine 500mg - 80,Painkillers,25,4099,5064,BATCH-202511-3863,2027-11-15
Ibuprofen 250mg - 52,First Aid,142,4662,6170,BATCH-202511-7047,2028-08-06
Paracetamol 1000mg - 62,First Aid,248,1851,2293,BATCH-202511-9964,2028-04-12
Metformin 250mg - 93,Supplements,358,1698,2445,BATCH-202511-1019,2026-12-13
Omeprazole 1000mg - 96,Antibiotics,318,798,1191,BATCH-202511-9494,2028-10-22
Paracetamol 500mg - 89,First Aid,413,3816,5711,BATCH-202511-7472,2027-11-21
Doxycycline 500mg - 86,Supplements,351,2763,3469,BATCH-202511-9420,2028-06-24
Loratadine 250mg - 54,Painkillers,467,3307,4852,BATCH-202511-1848,2027-12-07
Paracetamol 250mg - 87,Supplements,185,1271,1610,BATCH-202511-2600,2028-08-28
Cetirizine 1000mg - 56,Cardiovascular,233,3067,3898,BATCH-202511-1080,2028-08-06
Bandages 250mg - 17,Painkillers,125,2694,3303,BATCH-202511-4859,2028-11-13
Omeprazole 1000mg - 21,Supplements,264,874,1273,BATCH-202511-6267,2027-11-14
Ibuprofen 500mg - 7,Vitamins,386,2528,3441,BATCH-202511-7167,2028-07-17
Omeprazole 500mg - 82,First Aid,445,2663,3378,BATCH-202511-9714,2027-04-07
Omeprazole 500mg - 2,Painkillers,456,2125,2716,BATCH-202511-5260,2027-11-25
Loratadine 1000mg - 18,Dermatology,204,2893,3958,BATCH-202511-2405,2028-10-15
Amlodipine 500mg - 25,Dermatology,420,1293,1886,BATCH-202511-8814,2027-11-05
Cetirizine 500mg - 34,First Aid,82,827,1229,BATCH-202511-1677,2028-08-18
Amlodipine 1000mg - 66,Painkillers,212,1521,1975,BATCH-202511-2723,2028-07-19
Bandages 1000mg - 45,Cardiovascular,386,1845,2240,BATCH-202511-2213,2027-09-10
Paracetamol 1000mg - 1,Painkillers,380,3799,4947,BATCH-202511-3015,2027-04-11
Omeprazole 1000mg - 35,Supplements,79,4032,6009,BATCH-202511-4419,2028-08-11
Paracetamol 1000mg - 1,Antibiotics,40,2995,3949,BATCH-202511-1532,2028-01-27
Diclofenac 250mg - 63,Supplements,186,4070,5715,BATCH-202511-8226,2027-05-25
Bandages 500mg - 60,Antibiotics,72,1144,1665,BATCH-202511-9456,2027-09-21
Omeprazole 500mg - 32,Vitamins,211,3925,4746,BATCH-202511-7403,2028-03-13
Doxycycline 1000mg - 89,First Aid,262,4963,6246,BATCH-202511-8829,2028-02-18
Doxycycline 500mg - 75,Vitamins,189,1741,2245,BATCH-202511-5016,2027-08-08
Amoxicillin 500mg - 79,Painkillers,89,3712,4547,BATCH-202511-6488,2027-10-09
Vitamin C 500mg - 27,Supplements,107,1865,2531,BATCH-202511-2561,2028-10-05
Aspirin 500mg - 52,Cardiovascular,337,4955,7353,BATCH-202511-3035,2028-10-15
Ciprofloxacin 1000mg - 97,Dermatology,236,1755,2500,BATCH-202511-9512,2028-01-07
Bandages 500mg - 34,Painkillers,342,1107,1595,BATCH-202511-6757,2026-12-05
Paracetamol 250mg - 93,Vitamins,47,2529,3751,BATCH-202511-2747,2027-09-14
Bandages 1000mg - 40,Supplements,416,293,381,BATCH-202511-1888,2028-02-12
Ciprofloxacin 500mg - 85,Vitamins,221,565,774,BATCH-202511-4149,2028-06-01
Diclofenac 1000mg - 48,First Aid,320,4189,5030,BATCH-202511-2060,2027-01-09
Amlodipine 1000mg - 44,Dermatology,242,3769,4648,BATCH-202511-9128,2028-10-11
Ciprofloxacin 250mg - 33,First Aid,209,3754,4633,BATCH-202511-8274,2027-02-22
Bandages 1000mg - 36,Supplements,229,1721,2149,BATCH-202511-5226,2027-09-16
Loratadine 500mg - 67,Cardiovascular,240,4298,6362,BATCH-202511-9420,2028-11-06
Amoxicillin 250mg - 59,Cardiovascular,418,4976,6438,BATCH-202511-1901,2028-03-25
Loratadine 1000mg - 11,Painkillers,463,3404,4259,BATCH-202511-2006,2027-06-16
Amoxicillin 250mg - 79,Cardiovascular,451,1317,1804,BATCH-202511-7392,2027-05-25
Ibuprofen 250mg - 53,Dermatology,56,2723,3575,BATCH-202511-4754,2026-12-29
Vitamin C 500mg - 52,Dermatology,140,4703,5867,BATCH-202511-6634,2028-06-12
Aspirin 250mg - 6,Vitamins,486,177,261,BATCH-202511-5038,2028-09-04
Amoxicillin 500mg - 46,First Aid,91,4549,6604,BATCH-202511-9201,2027-01-28
Diclofenac 250mg - 90,Cardiovascular,435,4229,5830,BATCH-202511-1680,2027-09-23
Cetirizine 1000mg - 81,Cardiovascular,277,3927,5386,BATCH-202511-1593,2028-09-10
Loratadine 500mg - 11,Painkillers,282,3651,5188,BATCH-202511-7720,2027-10-07
Ibuprofen 1000mg - 22,Dermatology,160,1516,2054,BATCH-202511-9131,2028-02-28
Azithromycin 500mg - 90,Supplements,146,2573,3808,BATCH-202511-6857,2028-04-28
Amlodipine 1000mg - 15,Cardiovascular,253,290,354,BATCH-202511-2734,2028-03-13
Cetirizine 1000mg - 45,Vitamins,42,3370,4445,BATCH-202511-3618,2027-01-03
Aspirin 1000mg - 37,First Aid,287,1467,1912,BATCH-202511-6377,2027-01-16
Loratadine 1000mg - 58,Cardiovascular,451,2429,3127,BATCH-202511-6376,2027-04-08
Azithromycin 500mg - 99,Cardiovascular,200,486,665,BATCH-202511-4796,2027-08-01
Diclofenac 500mg - 48,Vitamins,344,3110,3921,BATCH-202511-9131,2028-06-05
Aspirin 1000mg - 34,Dermatology,200,3576,4783,BATCH-202511-8840,2028-07-23
Bandages 250mg - 5,Vitamins,115,1984,2573,BATCH-202511-4009,2027-01-30
Amoxicillin 1000mg - 14,Cardiovascular,472,2854,4244,BATCH-202511-5434,2027-09-28
Ibuprofen 250mg - 44,Supplements,253,4208,5175,BATCH-202511-8156,2028-06-28
Ciprofloxacin 1000mg - 48,Supplements,273,4730,6973,BATCH-202511-3424,2028-04-28
Ciprofloxacin 250mg - 32,Antibiotics,461,4666,5669,BATCH-202511-4479,2027-11-12
Diclofenac 500mg - 47,First Aid,312,4896,7029,BATCH-202511-6176,2028-09-10
Omeprazole 250mg - 24,Cardiovascular,218,2102,2692,BATCH-202511-3759,2028-03-11
Omeprazole 1000mg - 52,Cardiovascular,95,1940,2763,BATCH-202511-4093,2027-10-15
Ibuprofen 1000mg - 26,Dermatology,391,2302,3425,BATCH-202511-3838,2027-12-10
Cetirizine 250mg - 96,Painkillers,216,3585,4693,BATCH-202511-3852,2028-11-14
Azithromycin 500mg - 57,Supplements,266,3901,5219,BATCH-202511-6740,2028-05-21
Amoxicillin 250mg - 93,Vitamins,419,4440,6466,BATCH-202511-9532,2028-04-11
Ciprofloxacin 1000mg - 33,First Aid,301,3752,4683,BATCH-202511-6423,2028-10-11
Paracetamol 250mg - 18,Painkillers,363,4337,6144,BATCH-202511-5254,2027-05-22
Amoxicillin 1000mg - 20,Painkillers,133,2682,3845,BATCH-202511-2406,2026-12-31
Amlodipine 250mg - 74,Supplements,218,4685,6129,BATCH-202511-9309,2028-02-24
Amoxicillin 250mg - 91,First Aid,223,4783,6111,BATCH-202511-8119,2028-04-07
Vitamin C 1000mg - 88,Vitamins,393,3249,4732,BATCH-202511-8102,2027-12-28
Omeprazole 1000mg - 63,Dermatology,276,1385,1838,BATCH-202511-6077,2028-04-26
Aspirin 1000mg - 18,Supplements,170,2762,3664,BATCH-202511-6324,2028-07-23
Vitamin C 500mg - 85,First Aid,315,195,243,BATCH-202511-7285,2028-01-31
Omeprazole 250mg - 60,Vitamins,12,4558,6032,BATCH-202511-5842,2027-05-03
Diclofenac 1000mg - 33,First Aid,255,4051,5536,BATCH-202511-8320,2027-06-12
Vitamin C 500mg - 98,Dermatology,377,4205,6264,BATCH-202511-4884,2027-06-05
Doxycycline 1000mg - 49,Dermatology,124,484,707,BATCH-202511-5084,2028-11-13
Amoxicillin 250mg - 16,Dermatology,241,2979,3633,BATCH-202511-6048,2027-02-07
Loratadine 1000mg - 42,Dermatology,159,1332,1959,BATCH-202511-8760,2026-12-24
Azithromycin 500mg - 69,Cardiovascular,318,3474,4545,BATCH-202511-3608,2027-07-22
Cetirizine 1000mg - 29,Cardiovascular,56,2689,3638,BATCH-202511-9645,2026-12-24
Metformin 500mg - 20,Painkillers,287,1989,2757,BATCH-202511-7815,2027-09-21
Bandages 250mg - 29,Dermatology,295,4114,5940,BATCH-202511-4651,2027-06-02
Aspirin 500mg - 26,Vitamins,131,537,725,BATCH-202511-4240,2027-04-20
Amoxicillin 500mg - 42,Vitamins,252,875,1106,BATCH-202511-2338,2027-09-23
Doxycycline 250mg - 42,Painkillers,203,3982,5956,BATCH-202511-9417,2028-05-07
Ibuprofen 1000mg - 26,Painkillers,363,3226,4534,BATCH-202511-9121,2027-12-22
Vitamin C 250mg - 98,Dermatology,190,3924,5321,BATCH-202511-2920,2027-05-07
Ciprofloxacin 1000mg - 19,Supplements,392,2684,3449,BATCH-202511-2089,2028-10-17
Vitamin C 1000mg - 72,Supplements,264,4063,5086,BATCH-202511-2799,2026-12-02
Metformin 500mg - 12,Antibiotics,391,3712,4838,BATCH-202511-8534,2028-04-06
Ibuprofen 1000mg - 21,Painkillers,77,3964,5429,BATCH-202511-4446,2028-01-24
Omeprazole 1000mg - 54,Supplements,51,4114,5847,BATCH-202511-4853,2028-10-30
Ciprofloxacin 1000mg - 97,Dermatology,395,1974,2535,BATCH-202511-1503,2027-01-11
Azithromycin 1000mg - 31,Antibiotics,33,4740,6190,BATCH-202511-5780,2027-01-19
Aspirin 500mg - 100,First Aid,38,3567,5333,BATCH-202511-9554,2028-09-10
Vitamin C 250mg - 5,Antibiotics,356,2839,3625,BATCH-202511-1787,2028-01-06
Cetirizine 1000mg - 21,Dermatology,263,4038,5141,BATCH-202511-3172,2026-12-26
Diclofenac 500mg - 48,Antibiotics,25,2481,3565,BATCH-202511-8885,2027-08-21
Vitamin C 250mg - 53,First Aid,105,4203,5904,BATCH-202511-9646,2028-01-16
Amoxicillin 500mg - 29,Vitamins,21,2155,3070,BATCH-202511-9848,2028-04-29
Doxycycline 250mg - 71,Dermatology,170,1717,2167,BATCH-202511-8906,2027-02-18
Vitamin C 250mg - 66,Supplements,92,3083,4622,BATCH-202511-4308,2028-10-02
Doxycycline 1000mg - 58,First Aid,317,2077,2805,BATCH-202511-8310,2028-06-26
Azithromycin 1000mg - 95,Cardiovascular,34,1647,2250,BATCH-202511-7200,2027-06-17
Ibuprofen 500mg - 79,Dermatology,121,3764,4901,BATCH-202511-4154,2028-09-10
Metformin 1000mg - 2,Dermatology,217,3602,4521,BATCH-202511-9412,2028-05-03
Amlodipine 250mg - 71,Dermatology,158,1932,2860,BATCH-202511-7381,2027-08-12
Cetirizine 500mg - 73,Supplements,432,1987,2633,BATCH-202511-5803,2028-10-27
Paracetamol 500mg - 79,Dermatology,395,2832,3442,BATCH-202511-6538,2028-05-19
Omeprazole 500mg - 98,First Aid,15,4639,6684,BATCH-202511-3712,2027-04-13
Ibuprofen 1000mg - 62,Antibiotics,260,2974,3817,BATCH-202511-6489,2026-12-28
Vitamin C 1000mg - 68,First Aid,410,2063,2954,BATCH-202511-6066,2027-07-12
Ibuprofen 500mg - 5,Painkillers,101,3831,5253,BATCH-202511-5778,2026-12-15
Cetirizine 1000mg - 51,Painkillers,387,943,1301,BATCH-202511-6653,2028-07-16
Loratadine 500mg - 61,Vitamins,415,3708,4645,BATCH-202511-7374,2027-09-17
Amlodipine 1000mg - 20,Antibiotics,411,429,628,BATCH-202511-6986,2027-09-17
Omeprazole 500mg - 3,Antibiotics,26,1383,1700,BATCH-202511-9562,2027-07-23
Paracetamol 1000mg - 16,Antibiotics,314,2183,3262,BATCH-202511-7404,2028-10-27
Azithromycin 250mg - 49,Antibiotics,101,552,732,BATCH-202511-6891,2027-05-10
Aspirin 250mg - 59,Supplements,102,3899,4722,BATCH-202511-9934,2027-06-20
Amlodipine 500mg - 57,Cardiovascular,17,784,990,BATCH-202511-1050,2027-09-19
Omeprazole 1000mg - 25,Dermatology,265,435,564,BATCH-202511-9627,2027-08-16
Vitamin C 1000mg - 4,First Aid,426,1292,1710,BATCH-202511-7707,2027-08-30
Metformin 500mg - 21,Vitamins,56,2714,3737,BATCH-202511-9619,2027-08-30
Bandages 250mg - 64,Dermatology,409,1914,2820,BATCH-202511-1769,2027-03-14
Loratadine 1000mg - 65,Cardiovascular,428,4331,5658,BATCH-202511-3786,2026-12-28
Omeprazole 1000mg - 78,Supplements,137,2673,3731,BATCH-202511-3195,2028-06-05
Bandages 1000mg - 12,Supplements,447,4195,6232,BATCH-202511-9967,2027-06-22
Ibuprofen 1000mg - 41,Supplements,319,3762,5419,BATCH-202511-6713,2028-10-24
Amlodipine 1000mg - 2,Antibiotics,484,2918,3858,BATCH-202511-1437,2028-09-13
Doxycycline 500mg - 65,First Aid,135,4285,5151,BATCH-202511-7583,2027-06-21
Bandages 1000mg - 67,Painkillers,123,3291,4448,BATCH-202511-6628,2028-02-14
Ciprofloxacin 1000mg - 37,First Aid,36,284,355,BATCH-202511-7727,2026-12-19
Doxycycline 500mg - 77,Painkillers,259,3008,4268,BATCH-202511-6019,2027-02-10
Diclofenac 500mg - 18,Vitamins,32,475,691,BATCH-202511-6578,2028-10-05
Paracetamol 500mg - 81,Cardiovascular,29,2444,3014,BATCH-202511-4698,2028-08-10
Cetirizine 500mg - 84,Dermatology,87,2998,4194,BATCH-202511-3547,2027-03-28
Diclofenac 500mg - 38,Vitamins,209,2592,3516,BATCH-202511-3097,2027-06-14
Paracetamol 500mg - 31,Painkillers,111,4607,6184,BATCH-202511-2819,2028-03-03
Doxycycline 1000mg - 40,Painkillers,292,779,1040,BATCH-202511-3343,2028-03-24
Azithromycin 500mg - 13,Supplements,469,3852,5278,BATCH-202511-4989,2027-04-29
Ibuprofen 500mg - 55,Cardiovascular,360,787,1001,BATCH-202511-2211,2027-10-06
Aspirin 250mg - 50,Vitamins,203,2566,3605,BATCH-202511-3679,2028-10-16
Vitamin C 500mg - 5,Supplements,429,1131,1585,BATCH-202511-6956,2027-06-10
Amlodipine 500mg - 42,Cardiovascular,176,2517,3213,BATCH-202511-5535,2027-03-07
Diclofenac 250mg - 51,Painkillers,189,4975,7457,BATCH-202511-9529,2028-10-01
Amoxicillin 500mg - 55,Vitamins,389,1765,2492,BATCH-202511-8482,2027-09-18
Diclofenac 1000mg - 29,Cardiovascular,352,4699,6720,BATCH-202511-5179,2028-11-16
Amoxicillin 1000mg - 58,Cardiovascular,63,4018,5623,BATCH-202511-7069,2027-01-22
Diclofenac 1000mg - 26,Vitamins,223,1815,2575,BATCH-202511-1232,2027-04-28
Ibuprofen 250mg - 8,Dermatology,146,4382,5951,BATCH-202511-8400,2028-07-15
Amoxicillin 1000mg - 38,Antibiotics,408,1164,1683,BATCH-202511-2621,2027-01-15
Ibuprofen 500mg - 49,Antibiotics,198,4235,5858,BATCH-202511-7178,2028-11-08
Azithromycin 500mg - 74,Supplements,366,4102,5460,BATCH-202511-6920,2027-12-10
Paracetamol 250mg - 11,Supplements,56,4165,5091,BATCH-202511-9513,2027-07-05
Ibuprofen 1000mg - 52,Cardiovascular,108,3036,4102,BATCH-202511-2953,2027-07-20
Azithromycin 500mg - 81,Antibiotics,191,2142,3082,BATCH-202511-9934,2028-01-08
Ciprofloxacin 500mg - 66,Dermatology,237,2154,2756,BATCH-202511-9306,2028-02-20
Amoxicillin 250mg - 88,Painkillers,209,3445,5012,BATCH-202511-8529,2028-06-16
Ibuprofen 500mg - 99,Dermatology,56,1475,2019,BATCH-202511-9414,2028-10-23
Omeprazole 250mg - 80,Supplements,178,1996,2794,BATCH-202511-8265,2027-06-09
Aspirin 250mg - 74,Painkillers,233,325,459,BATCH-202511-9186,2027-05-09
Amlodipine 500mg - 14,First Aid,39,307,425,BATCH-202511-7972,2028-05-24
Bandages 500mg - 23,First Aid,110,883,1082,BATCH-202511-1863,2027-02-16
Amlodipine 500mg - 74,Cardiovascular,410,3272,4094,BATCH-202511-3114,2027-11-28
Metformin 500mg - 86,Vitamins,464,3919,5858,BATCH-202511-8182,2027-12-19
Azithromycin 500mg - 37,Dermatology,368,4460,6531,BATCH-202511-3358,2028-07-22
Amoxicillin 1000mg - 99,Dermatology,321,197,293,BATCH-202511-5286,2027-01-24
Ibuprofen 500mg - 54,Dermatology,119,3848,4764,BATCH-202511-5439,2027-09-27
Amlodipine 500mg - 51,Vitamins,173,2555,3746,BATCH-202511-5133,2026-12-26
Cetirizine 500mg - 7,First Aid,346,3172,3924,BATCH-202511-9714,2027-12-27
Loratadine 250mg - 50,Antibiotics,142,2400,2949,BATCH-202511-6202,2027-06-03
Aspirin 250mg - 96,Painkillers,350,1422,2091,BATCH-202511-6989,2027-06-14
Omeprazole 1000mg - 33,First Aid,265,1780,2279,BATCH-202511-2560,2028-04-02
Aspirin 1000mg - 9,Supplements,109,1908,2815,BATCH-202511-2106,2028-07-31
Aspirin 500mg - 18,Supplements,256,3312,4734,BATCH-202511-9993,2027-11-02
Aspirin 250mg - 38,Dermatology,367,4796,5810,BATCH-202511-6563,2028-05-22
Aspirin 500mg - 13,Vitamins,82,4889,7106,BATCH-202511-2599,2028-10-05
Ibuprofen 500mg - 43,Dermatology,327,3019,4510,BATCH-202511-1823,2027-12-24
Ibuprofen 500mg - 78,Cardiovascular,151,3675,5137,BATCH-202511-9141,2027-04-27
Omeprazole 250mg - 41,Painkillers,423,2690,3439,BATCH-202511-8814,2028-07-28
Amoxicillin 1000mg - 71,Painkillers,498,1182,1621,BATCH-202511-9989,2027-03-01
Azithromycin 1000mg - 100,Supplements,407,4169,5950,BATCH-202511-7160,2027-01-27
Aspirin 250mg - 42,Dermatology,482,3506,4297,BATCH-202511-9949,2027-06-07
Cetirizine 1000mg - 8,Vitamins,242,1127,1527,BATCH-202511-6622,2028-10-18
Amoxicillin 500mg - 49,Cardiovascular,313,4904,6287,BATCH-202511-8018,2027-02-11
Amoxicillin 1000mg - 45,Cardiovascular,399,2576,3436,BATCH-202511-2772,2028-02-05
Doxycycline 250mg - 72,Supplements,170,1806,2197,BATCH-202511-1418,2028-09-12
Doxycycline 1000mg - 69,Supplements,363,4252,5481,BATCH-202511-5429,2028-08-04
Omeprazole 500mg - 2,Dermatology,379,1108,1487,BATCH-202511-5233,2027-02-10
Metformin 250mg - 57,Supplements,464,4627,6409,BATCH-202511-3158,2028-04-24
Ciprofloxacin 250mg - 4,Vitamins,493,869,1131,BATCH-202511-4972,2027-10-03
Omeprazole 250mg - 25,First Aid,416,553,718,BATCH-202511-7040,2028-11-20
Loratadine 500mg - 25,Antibiotics,388,4303,5591,BATCH-202511-8747,2027-09-02
Azithromycin 250mg - 22,First Aid,277,4071,5277,BATCH-202511-5500,2028-03-12
Diclofenac 250mg - 78,Dermatology,139,3959,5054,BATCH-202511-6300,2028-02-21
Azithromycin 500mg - 9,Vitamins,322,3322,4620,BATCH-202511-5558,2028-05-01
Amoxicillin 500mg - 89,Painkillers,340,3354,4596,BATCH-202511-2988,2027-03-26
Doxycycline 250mg - 4,First Aid,334,3599,5345,BATCH-202511-7342,2028-05-14
Azithromycin 250mg - 30,Vitamins,393,1394,1700,BATCH-202511-5126,2027-09-24
Omeprazole 1000mg - 86,Vitamins,345,2157,3147,BATCH-202511-5380,2027-06-24
Omeprazole 500mg - 8,Antibiotics,14,365,498,BATCH-202511-5674,2028-06-20
Ciprofloxacin 250mg - 1,First Aid,125,1934,2556,BATCH-202511-8555,2027-08-25
Amlodipine 1000mg - 75,Supplements,68,2725,3519,BATCH-202511-7089,2027-04-02
Aspirin 500mg - 37,Cardiovascular,378,4335,6373,BATCH-202511-1195,2027-08-03
Aspirin 500mg - 60,First Aid,367,3558,5143,BATCH-202511-3043,2027-10-23
Omeprazole 250mg - 39,First Aid,389,1764,2420,BATCH-202511-6363,2027-04-10
Metformin 250mg - 33,Vitamins,478,1454,1922,BATCH-202511-5778,2028-03-14
Amlodipine 1000mg - 52,Painkillers,215,2199,2661,BATCH-202511-2418,2027-01-20
Amlodipine 1000mg - 12,Dermatology,107,2696,3486,BATCH-202511-8801,2027-02-14
Loratadine 500mg - 60,First Aid,352,3443,4813,BATCH-202511-4858,2027-07-09
Amlodipine 500mg - 99,Vitamins,38,4223,6238,BATCH-202511-3734,2028-05-13
Doxycycline 500mg - 57,Painkillers,446,419,581,BATCH-202511-2000,2028-04-29
Aspirin 250mg - 58,Cardiovascular,86,1907,2384,BATCH-202511-3347,2028-03-16
Ciprofloxacin 500mg - 3,First Aid,226,4024,5118,BATCH-202511-9609,2028-08-15
Loratadine 250mg - 61,Cardiovascular,281,278,340,BATCH-202511-9622,2027-12-08
Ibuprofen 500mg - 72,Antibiotics,182,500,670,BATCH-202511-4475,2028-03-03
Paracetamol 500mg - 7,First Aid,402,813,1216,BATCH-202511-6710,2027-12-12
Cetirizine 1000mg - 23,First Aid,397,1236,1766,BATCH-202511-9872,2026-12-28
Cetirizine 1000mg - 92,Cardiovascular,350,4407,6195,BATCH-202511-9118,2027-07-15
Doxycycline 250mg - 100,Vitamins,102,4502,5821,BATCH-202511-2545,2028-07-16
Loratadine 500mg - 26,Dermatology,357,3454,4672,BATCH-202511-9555,2027-09-09
Paracetamol 500mg - 34,Cardiovascular,322,657,872,BATCH-202511-1787,2027-09-01
Ibuprofen 1000mg - 24,Supplements,467,835,1101,BATCH-202511-6406,2028-05-26
Amlodipine 1000mg - 47,Antibiotics,98,1934,2866,BATCH-202511-3698,2027-06-18
Aspirin 500mg - 3,Vitamins,135,4357,5413,BATCH-202511-8978,2028-07-23
Ibuprofen 250mg - 7,Painkillers,20,4141,5541,BATCH-202511-1994,2026-12-20
Cetirizine 500mg - 4,Dermatology,291,3896,5449,BATCH-202511-8128,2027-05-04
Omeprazole 1000mg - 32,Dermatology,361,3236,4612,BATCH-202511-5005,2027-04-11
Paracetamol 500mg - 71,Dermatology,90,416,536,BATCH-202511-6787,2028-10-25
Ibuprofen 250mg - 2,Painkillers,223,3326,4251,BATCH-202511-9246,2027-10-29
Omeprazole 1000mg - 49,Vitamins,360,940,1316,BATCH-202511-8905,2028-06-03
Bandages 250mg - 33,Vitamins,160,3645,4919,BATCH-202511-2614,2027-08-17
Cetirizine 500mg - 99,Vitamins,270,517,642,BATCH-202511-6882,2027-02-25
Azithromycin 500mg - 39,Supplements,233,3593,5012,BATCH-202511-7416,2027-03-04
Bandages 250mg - 87,Dermatology,40,4145,5782,BATCH-202511-4604,2028-01-01
Omeprazole 500mg - 68,Painkillers,114,2581,3346,BATCH-202511-7966,2027-06-08
Diclofenac 500mg - 27,Dermatology,495,3098,3806,BATCH-202511-5879,2028-08-01
Cetirizine 1000mg - 74,Painkillers,380,950,1370,BATCH-202511-5491,2027-01-22
Ibuprofen 250mg - 9,Supplements,81,3055,3824,BATCH-202511-7804,2028-08-08
Doxycycline 1000mg - 43,Cardiovascular,367,4601,5617,BATCH-202511-5673,2027-09-29
Ibuprofen 250mg - 30,Antibiotics,360,4666,5825,BATCH-202511-7879,2027-08-17
Doxycycline 1000mg - 17,Cardiovascular,258,2314,3010,BATCH-202511-7413,2027-09-14
Loratadine 250mg - 4,Antibiotics,238,4304,5450,BATCH-202511-1762,2028-07-15
Metformin 1000mg - 6,Vitamins,367,374,549,BATCH-202511-4461,2027-02-06
Doxycycline 500mg - 22,Supplements,377,3246,3918,BATCH-202511-6502,2027-01-09
Vitamin C 250mg - 48,Antibiotics,142,4986,6636,BATCH-202511-2589,2028-08-27
Vitamin C 500mg - 58,Antibiotics,17,696,1026,BATCH-202511-3882,2028-10-13
Cetirizine 1000mg - 96,Painkillers,224,2381,3168,BATCH-202511-3227,2028-06-28
